Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A792378,"TISDALE AUSTIN 78757
(30.349869, -97.732706)",TRUE,4/9/2019,Cat,Domestic Shorthair Mix,Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792378
A792379,"TISDALE AUSTIN 78757
(30.349869, -97.732706)",TRUE,4/9/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792379
A792395,"AUSTIN 78725
(30.242394, -97.615386)",TRUE,4/10/2019,Cat,Domestic Shorthair Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792395
A792397,"8501 LINDON ROAD78617
(30.131655, -97.591404)",TRUE,4/10/2019,Dog,German Shepherd Mix,Black/Tan,Intact Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792397
A792424,WILLIAMSON ROAD78610,TRUE,4/10/2019,Dog,Labrador Retriever Mix,White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792424
A792432,"ROSEWOOD
AUSTIN 78702",FALSE,4/10/2019,Dog,Labrador Retriever Mix,Black/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792432
A792433,"ROSEWOOD
AUSTIN 78702",FALSE,4/10/2019,Dog,Labrador Retriever Mix,Black/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792433
A792444,"12036 PARSONS ROAD78653
(30.325551, -97.509225)",TRUE,4/10/2019,Dog,Pit Bull/Jack Russell Terrier,Brown Brindle/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792444
A792445,"12036 PARSONS ROAD78653
(30.325551, -97.509225)",TRUE,4/10/2019,Dog,Jack Russell Terrier/Pit Bull,Brown Brindle/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792445
A792447,"9302 S 1ST ST
AUSTIN 78748
(30.169864, -97.801524)",FALSE,4/10/2019,Cat,Domestic Shorthair Mix,Black,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792447
A792449,"4508 BRANDT RD78744
(30.159555, -97.77136)",TRUE,4/10/2019,Dog,Rottweiler Mix,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792449
